Name,Age,Distance,Duration,Steps,HeartRate,Calories
Allison Oliver,64,4.0,10.0,3778.0,142.0,182.0
Benjamin Cook,34,5.0,42.0,14525.0,139.0,763.0
John Martinez,30,5.0,,8243.0,94.0,516.0
Scott Herman MD,25,4.0,92.0,17778.0,140.0,756.0
Timothy Hernandez,58,0.0,11.0,1171.0,,151.0
Haley Walker,51,3.0,17.0,2631.0,160.0,579.0
Tyler Arnold,32,1.0,80.0,9847.0,,517.0
Courtney Bowman,38,4.0,62.0,11495.0,122.0,371.0
Ashley Owens,22,9.0,70.0,16069.0,131.0,439.0
Mikayla Wilson,21,3.0,67.0,13455.0,146.0,752.0
Sarah Jordan,40,3.0,33.0,7303.0,104.0,637.0
Tamara King,52,1.0,20.0,4401.0,108.0,365.0
Frank Williams,31,6.0,60.0,15110.0,160.0,775.0
Brian Ramirez,18,6.0,60.0,15110.0,160.0,775.0
Lisa Chavez,54,3.0,44.0,2911.0,144.0,
Joshua Wu,61,4.0,17.0,1421.0,69.0,574.0
Joshua Brown,59,0.0,31.0,2567.0,106.0,272.0
Emma Lopez,21,10.0,,18693.0,,866.0
Casey Marshall,27,8.0,83.0,11170.0,,424.0
Jason Neal,49,6.0,58.0,8694.0,76.0,634.0
Rebecca Parrish,61,,16.0,2581.0,178.0,139.0
William Jensen,40,7.0,62.0,7231.0,133.0,419.0
Joshua Diaz,45,6.0,40.0,8623.0,115.0,277.0
Christopher Sanchez,41,6.0,71.0,,152.0,206.0
Shannon Cortez,51,5.0,42.0,4783.0,87.0,
Mark Mendoza,18,5.0,42.0,4783.0,87.0,
Darren Johnson,28,5.0,49.0,,,322.0
Christopher Campbell,32,1.0,50.0,13222.0,162.0,414.0
Tiffany Edwards,34,6.0,96.0,13014.0,162.0,464.0
Carol Giles,20,10.0,107.0,12898.0,80.0,884.0
Taylor Bruce,35,4.0,75.0,10443.0,122.0,470.0
Mary Henson,45,6.0,63.0,11375.0,,613.0
Richard Atkins,24,9.0,72.0,16208.0,144.0,
Virginia Garcia,39,5.0,54.0,9493.0,,610.0
Mr. Cody Smith MD,22,6.0,79.0,16180.0,139.0,815.0
Terry Green,47,3.0,50.0,6426.0,145.0,377.0
Carlos Green,36,5.0,26.0,8409.0,,212.0
Kevin Gonzalez,48,3.0,35.0,6185.0,111.0,325.0
Jennifer Hinton,48,8.0,71.0,8762.0,160.0,580.0
Amanda Bush,42,2.0,46.0,8594.0,97.0,433.0
Erin Lewis,34,8.0,52.0,8050.0,,765.0
Shawn Powell,60,2.0,34.0,4350.0,114.0,317.0
Cameron Jordan,63,1.0,17.0,4306.0,66.0,576.0
Raymond Miller,53,2.0,25.0,2894.0,108.0,111.0
Veronica Ford,30,9.0,54.0,15856.0,125.0,414.0
Adam Martinez,45,1.0,79.0,10720.0,78.0,572.0
Michael Castillo,42,3.0,37.0,11775.0,123.0,640.0
Jennifer Miller,25,5.0,59.0,18244.0,102.0,647.0
Jason Gonzalez,28,1.0,74.0,8745.0,149.0,553.0
Zachary Farley,38,5.0,59.0,7399.0,119.0,584.0
Samantha Garcia,25,2.0,55.0,12763.0,133.0,646.0
William Wilson,32,3.0,85.0,15702.0,126.0,408.0
Jennifer Lopez,24,7.0,55.0,15326.0,96.0,770.0
Robert Waller,42,,62.0,10108.0,95.0,435.0
Tyler Mills,51,2.0,43.0,3700.0,,
Andrea Roberson,39,1.0,39.0,8500.0,150.0,310.0
Donald Boyd,62,4.0,45.0,2108.0,113.0,336.0
Anne Peck,36,2.0,79.0,6768.0,144.0,414.0
Andrew Sanders,39,5.0,51.0,7206.0,156.0,277.0
Destiny Burton,31,3.0,75.0,8882.0,91.0,440.0
Ashley Thompson,54,,28.0,1961.0,115.0,435.0
Crystal Baxter,32,3.0,85.0,14171.0,144.0,535.0
Stephanie Harris,33,1.0,87.0,,,677.0
John Cox,21,,95.0,18130.0,120.0,559.0
Sherry Davis,37,0.0,46.0,11381.0,73.0,324.0
Heather Schmitt,60,4.0,18.0,4709.0,72.0,487.0
Samantha Bryant,27,8.0,,10523.0,114.0,509.0
Taylor Lambert,55,3.0,,2850.0,80.0,518.0
Christopher Escobar,22,,66.0,14916.0,113.0,655.0
Jason Lopez,48,5.0,72.0,6993.0,,550.0
Spencer Graham,47,2.0,61.0,7548.0,120.0,
Angela Hernandez,51,2.0,31.0,4545.0,149.0,502.0
Tamara Hurst,34,4.0,57.0,8352.0,149.0,542.0
Jimmy Mullins,54,3.0,28.0,4660.0,,
Brittany Brown,57,5.0,19.0,1057.0,98.0,601.0
Amber Maynard,34,7.0,42.0,14312.0,155.0,692.0
Anna Foster,26,8.0,57.0,13752.0,98.0,767.0
Daniel Johnson,41,5.0,25.0,11644.0,,443.0
Kimberly Crawford,59,4.0,,2396.0,66.0,346.0
Valerie Dougherty,44,1.0,63.0,7497.0,117.0,
Sharon Myers,24,13.0,56.0,14431.0,157.0,819.0
Diana Lawrence,50,6.0,37.0,8812.0,135.0,
William Walls,20,9.0,98.0,14781.0,,692.0
Kevin White,36,5.0,51.0,8759.0,155.0,582.0
Patricia Vargas,36,4.0,60.0,9468.0,112.0,619.0
Robert Norman,62,1.0,31.0,1136.0,167.0,207.0
Robert Harris,53,3.0,42.0,3632.0,132.0,
Shannon Mendez,33,9.0,53.0,14803.0,,755.0
Christian Hall,61,2.0,44.0,1367.0,152.0,498.0
Charles Garcia,54,2.0,,4959.0,159.0,676.0
Amy Browning,23,13.0,118.0,16131.0,101.0,800.0
Randy Bell,55,1.0,12.0,,110.0,227.0
Felicia Riley,55,0.0,34.0,4189.0,80.0,236.0
Angela Schmidt,33,9.0,,8865.0,97.0,
Teresa Ruiz,30,9.0,53.0,13578.0,104.0,311.0
Justin Johnson Jr.,46,7.0,64.0,6268.0,71.0,449.0
Tracy Cruz,48,0.0,47.0,7646.0,97.0,368.0
Mark Neal,22,15.0,,19471.0,107.0,794.0
Courtney Bates,52,0.0,16.0,2779.0,137.0,476.0
Sarah Sawyer,63,0.0,14.0,,113.0,463.0
Nicholas Barnett,43,3.0,,11007.0,80.0,331.0
Sharon Riley,42,2.0,61.0,6421.0,106.0,
Jacqueline Newton,38,4.0,61.0,7750.0,71.0,279.0
Stephanie Davis,53,2.0,16.0,1602.0,135.0,133.0
David Henderson,46,8.0,63.0,11923.0,110.0,511.0
Jodi Powell,62,4.0,42.0,2940.0,163.0,299.0
Kayla Carrillo MD,52,5.0,28.0,2320.0,162.0,512.0
Kyle Gonzalez DDS,36,,27.0,7421.0,86.0,446.0
Alyssa Johnson,61,,13.0,1545.0,,165.0
Kari White,39,2.0,38.0,8212.0,92.0,517.0
Karen Livingston,42,7.0,51.0,11040.0,123.0,512.0
James Estrada,64,4.0,27.0,1650.0,68.0,122.0
Stephanie Valentine,54,3.0,37.0,4175.0,84.0,216.0
Wendy Cox,48,5.0,31.0,10958.0,80.0,470.0
Michael Watson,50,,54.0,10832.0,118.0,641.0
Jessica Phillips,53,4.0,22.0,2931.0,77.0,561.0
Patrick Buchanan,33,2.0,46.0,11335.0,130.0,316.0
Patricia Romero,42,4.0,72.0,11894.0,71.0,
John Montgomery,27,5.0,51.0,9252.0,,488.0
Richard Rojas,35,6.0,,12935.0,81.0,
Aaron Guerrero,58,0.0,11.0,3802.0,76.0,275.0
Johnathan Doyle,46,2.0,44.0,6450.0,126.0,429.0
Laura Oconnell,21,14.0,107.0,14307.0,99.0,799.0
Tanya Patrick,44,1.0,,11310.0,93.0,
Devin Hurley,53,4.0,47.0,4091.0,117.0,318.0
Elizabeth Carter,22,3.0,85.0,14236.0,93.0,597.0
Monica Mcmillan,55,2.0,43.0,2746.0,150.0,569.0
Jessica Nelson,25,8.0,101.0,18148.0,,478.0
Erik Fuentes,56,3.0,26.0,1097.0,114.0,253.0
William Phillips,26,5.0,70.0,14336.0,142.0,363.0
Richard Melton,58,4.0,,1145.0,150.0,300.0
Cynthia Morales,59,3.0,38.0,4459.0,162.0,130.0
Jason Brown,44,,57.0,8682.0,82.0,336.0
Betty Reed,44,1.0,36.0,6944.0,143.0,588.0
Rachael Mason,47,6.0,65.0,7974.0,99.0,
Lori Bell,50,1.0,70.0,6551.0,94.0,567.0
Kyle Watkins,26,4.0,93.0,10178.0,109.0,646.0
Suzanne Bell,61,,23.0,3593.0,106.0,211.0
Gail Walsh,46,5.0,34.0,7083.0,123.0,507.0
Elizabeth Arroyo,27,10.0,74.0,9698.0,147.0,788.0
Christopher Morgan,50,4.0,77.0,9109.0,144.0,365.0
Glenn Dunn,21,,92.0,17555.0,117.0,864.0
Bonnie Kaiser,63,1.0,34.0,2747.0,178.0,639.0
Joanne Hall,33,1.0,44.0,12606.0,90.0,654.0
Joshua Wong,64,1.0,39.0,2067.0,168.0,168.0
Frank Martinez,23,3.0,87.0,17798.0,97.0,885.0
Kevin Armstrong,37,1.0,,10232.0,169.0,361.0
Taylor Jordan,28,10.0,49.0,15237.0,76.0,665.0
Kimberly Miller,21,1.0,106.0,19571.0,127.0,480.0
Amanda Hill,48,,58.0,9120.0,111.0,516.0
Joseph Johnson,38,3.0,53.0,,164.0,641.0
Andrew Anthony,38,6.0,46.0,11549.0,,492.0
Alex Patel,21,2.0,67.0,,112.0,411.0
Christopher Carpenter,55,3.0,43.0,3423.0,143.0,629.0
Kristie Knight,57,3.0,14.0,2952.0,117.0,429.0
Tonya Shea,51,1.0,36.0,,150.0,345.0
Allison Carlson,23,5.0,105.0,19348.0,100.0,853.0
William Garcia,35,,57.0,11660.0,,376.0
Shannon West,31,,38.0,13529.0,138.0,532.0
Erin Hamilton,60,2.0,33.0,1989.0,70.0,471.0
Frederick Hicks,47,5.0,69.0,9646.0,133.0,327.0
Daniel Moore,52,1.0,,2391.0,143.0,
Renee Cisneros,60,4.0,18.0,4309.0,,208.0
Raymond Kim,26,7.0,65.0,15386.0,86.0,765.0
Norman Jackson,58,2.0,12.0,4819.0,166.0,301.0
Robert Meyers,42,8.0,43.0,7460.0,160.0,518.0
Dean Martin,47,8.0,78.0,11143.0,111.0,392.0
Jesse Ashley,36,7.0,51.0,8705.0,142.0,273.0
Sandra Barnett,28,4.0,71.0,15950.0,116.0,651.0
John Conley,36,7.0,32.0,6880.0,165.0,423.0
Marisa Klein,46,0.0,45.0,6247.0,149.0,560.0
John Briggs,63,,21.0,4280.0,161.0,520.0
Timothy Butler,22,9.0,64.0,14054.0,141.0,623.0
Christopher Taylor,28,6.0,56.0,12232.0,85.0,635.0
Marisa Austin,30,10.0,65.0,13126.0,,
Steven Colon,61,3.0,48.0,1456.0,152.0,486.0
Ricky Smith,46,0.0,30.0,9871.0,167.0,523.0
Melissa Hancock,53,0.0,10.0,1253.0,150.0,141.0
Elizabeth Sparks,50,8.0,30.0,10486.0,128.0,229.0
Paul Santiago,37,1.0,66.0,6094.0,168.0,
Linda Long,48,3.0,78.0,7930.0,168.0,637.0
Jimmy Rodriguez,39,,,7084.0,120.0,497.0
Diana Mullen,43,2.0,55.0,10976.0,,425.0
Richard Fields,61,5.0,34.0,4266.0,151.0,327.0
Aaron Lewis,19,3.0,76.0,17887.0,85.0,880.0
Bobby White,41,3.0,,11589.0,141.0,590.0
Molly Schmidt,40,7.0,42.0,,87.0,254.0
Caitlin Davis,46,3.0,73.0,8153.0,99.0,542.0
Jesus Alexander,38,7.0,57.0,11849.0,86.0,507.0
Rachel Evans,38,4.0,44.0,10324.0,163.0,465.0
Lori Jackson,29,,35.0,12945.0,,621.0
Richard Berry,28,2.0,61.0,11484.0,161.0,699.0
Don Walker,43,4.0,36.0,7567.0,101.0,481.0
Christopher Compton,33,11.0,,9961.0,77.0,689.0
John Cox,32,8.0,93.0,9859.0,,743.0
Andrew Peterson,36,5.0,56.0,10398.0,,
Anita Steele,24,15.0,106.0,19805.0,96.0,
Jared Douglas DVM,50,4.0,35.0,11610.0,130.0,497.0
Kristina Wilson,57,5.0,10.0,,101.0,432.0
Robert Arnold,25,11.0,82.0,13536.0,,612.0
Kelli Carpenter,45,6.0,36.0,7894.0,99.0,257.0
Darlene Nguyen,26,6.0,88.0,10992.0,113.0,584.0
Heidi Leblanc,35,2.0,62.0,15038.0,78.0,614.0
Tony Cook,62,2.0,,1750.0,121.0,153.0
David Reese,58,1.0,24.0,3174.0,63.0,695.0
Linda Adams,42,4.0,75.0,11301.0,71.0,543.0
Danielle Mckay,37,7.0,72.0,7604.0,120.0,307.0
Joshua Ford,51,5.0,28.0,,78.0,355.0
Jason Richardson,40,,33.0,8689.0,166.0,266.0
Nicholas Beltran,44,2.0,39.0,7620.0,86.0,576.0
Amanda Lambert,29,4.0,72.0,8968.0,,502.0
Joseph Cunningham,45,2.0,27.0,10336.0,150.0,276.0
Kevin Brooks,33,4.0,90.0,14800.0,111.0,539.0
Andrew Carson,22,14.0,112.0,16056.0,80.0,725.0
Savannah Ellis,24,8.0,88.0,14251.0,132.0,
John Johnson,62,3.0,32.0,4981.0,88.0,690.0
Melissa Howell,50,5.0,54.0,6061.0,132.0,603.0
Christopher Hill,38,6.0,61.0,9201.0,103.0,342.0
Brian Wilson,37,1.0,68.0,10367.0,112.0,450.0
Brittany Herrera,63,2.0,17.0,2360.0,128.0,543.0
Anne Kaufman,21,11.0,93.0,18052.0,81.0,636.0
Amanda Cook,55,4.0,41.0,1655.0,,218.0
Joshua Murray,31,4.0,80.0,14894.0,161.0,545.0
Sheena Rivera,54,5.0,15.0,4022.0,149.0,153.0
Ann Scott,36,1.0,36.0,8203.0,160.0,400.0
Douglas Chapman,53,,46.0,4880.0,103.0,224.0
Bryan Kirby,62,1.0,27.0,3167.0,149.0,556.0
Daniel Lawson,19,7.0,77.0,19917.0,96.0,471.0
Melissa Adams,26,,71.0,13691.0,,638.0
John Hamilton,52,4.0,44.0,1183.0,64.0,476.0
Robert Washington,35,2.0,,8862.0,162.0,783.0
Kevin Silva,25,2.0,94.0,15823.0,,796.0
Courtney Smith,61,0.0,36.0,1750.0,139.0,291.0
Jim Nichols,62,4.0,24.0,4107.0,135.0,
Amanda Arnold,54,3.0,27.0,4763.0,154.0,431.0
Marilyn Anderson,62,4.0,48.0,2624.0,134.0,106.0
Diana Pineda MD,42,8.0,35.0,7581.0,114.0,635.0
Mary Rodriguez,38,2.0,35.0,10647.0,85.0,
Seth Peterson,59,4.0,45.0,1295.0,169.0,342.0
Nicole Downs,48,,43.0,10724.0,136.0,306.0
Robin Jackson,21,9.0,53.0,17597.0,87.0,558.0
Angela Riggs,51,2.0,47.0,1522.0,,475.0
Kimberly Garcia,53,0.0,42.0,1508.0,147.0,691.0
David Stewart,49,,57.0,7044.0,135.0,319.0
Sean Sanchez,32,3.0,82.0,10407.0,85.0,
Alex Chan DDS,30,5.0,92.0,13576.0,112.0,344.0
Holly Martin,31,6.0,93.0,11127.0,101.0,
Terri Perkins,59,1.0,17.0,1399.0,168.0,412.0
Robert Garcia,19,8.0,55.0,12689.0,84.0,
Renee Carey,61,4.0,35.0,2527.0,60.0,231.0
Pamela Medina,40,7.0,71.0,10383.0,88.0,202.0
Christine Hamilton,27,7.0,73.0,14283.0,148.0,671.0
Shannon Wolfe,59,,10.0,1774.0,81.0,134.0
Andrew Larsen,54,,20.0,1464.0,137.0,530.0
Michelle Thomas,37,6.0,35.0,10356.0,126.0,528.0
Joseph Heath,51,,41.0,2198.0,152.0,453.0
Linda Ward,31,9.0,40.0,10386.0,95.0,520.0
Melinda Rose,39,5.0,,11999.0,88.0,593.0
Michael Buck,51,3.0,16.0,,90.0,
Sharon Cole,47,2.0,63.0,,104.0,344.0
Marcus Harvey,56,3.0,13.0,4232.0,107.0,316.0
Heather Rowe,37,,32.0,8801.0,85.0,366.0
Karen Garcia,32,2.0,63.0,9508.0,131.0,711.0
Heather Schroeder,64,2.0,,1850.0,73.0,624.0
Melissa Nelson,25,8.0,89.0,16215.0,122.0,411.0
Derek Martin,30,8.0,76.0,10804.0,108.0,556.0
Kyle Rogers,42,3.0,45.0,7706.0,101.0,508.0
Laura Martinez,32,8.0,76.0,9034.0,91.0,676.0
Gabrielle Adkins,42,4.0,72.0,10817.0,102.0,553.0
Amanda Cook,38,2.0,73.0,,98.0,577.0
Melissa Wilson,42,1.0,68.0,9608.0,82.0,579.0
Scott Wright,21,11.0,79.0,18361.0,134.0,
Sandra Smith,46,6.0,73.0,8269.0,102.0,527.0
Allison Chapman,40,8.0,66.0,9446.0,106.0,474.0
Jonathan Harper,29,7.0,55.0,12086.0,77.0,343.0
Savannah Sandoval,60,4.0,31.0,3027.0,,699.0
Samantha Perez,24,6.0,110.0,18206.0,123.0,
Bryan Graham,51,1.0,30.0,4071.0,119.0,207.0
Heidi Martinez,64,5.0,,2117.0,109.0,327.0
Nathan Carter,24,,56.0,17244.0,83.0,
Julie Robinson,27,1.0,97.0,13461.0,135.0,475.0
Alejandro Williams,56,,18.0,1041.0,,692.0
Tiffany Berry,61,4.0,41.0,1753.0,132.0,635.0
Carol Barry,33,8.0,98.0,,105.0,514.0
Matthew Gibson,23,12.0,,12389.0,120.0,
Alexandra Edwards,64,1.0,49.0,,106.0,337.0
Pamela Anderson,43,2.0,28.0,9459.0,100.0,574.0
Lynn Moore,43,,71.0,6761.0,,422.0
Caitlin Evans,18,,71.0,6761.0,,422.0
Michael Maxwell,29,9.0,99.0,10688.0,92.0,339.0
Katie Garcia,19,1.0,109.0,,102.0,464.0
Diane Campbell,47,2.0,68.0,7361.0,142.0,629.0
Daniel Gates,37,,35.0,,84.0,398.0
Paula Mann,61,0.0,26.0,2747.0,121.0,637.0
Jeremy Peterson,20,15.0,50.0,,,642.0
Daniel Wall,43,6.0,35.0,10047.0,126.0,522.0
Nicole Lindsey,21,5.0,111.0,14341.0,132.0,491.0
Tina Sanchez,59,1.0,28.0,4599.0,113.0,
Jose Cruz,23,4.0,52.0,19030.0,92.0,540.0
Katrina Austin,49,3.0,29.0,11607.0,105.0,595.0
Randall Hardy,30,4.0,90.0,,86.0,394.0
Aaron Hubbard,55,5.0,48.0,4437.0,173.0,503.0
Amy Garcia,32,9.0,64.0,13953.0,153.0,520.0
Samantha Ford,48,,63.0,8594.0,114.0,
James Clements,31,2.0,47.0,8458.0,101.0,308.0
John Edwards,28,6.0,39.0,14088.0,84.0,758.0
Eric Sandoval,47,1.0,51.0,8906.0,114.0,555.0
Lorraine Johnson,18,1.0,51.0,8906.0,114.0,555.0
Matthew Vega,47,2.0,32.0,9856.0,156.0,599.0
Angela Gonzalez,58,1.0,,4688.0,128.0,654.0
Kyle Wolfe,26,10.0,66.0,15584.0,107.0,382.0
Thomas Gonzales,44,4.0,76.0,9046.0,169.0,576.0
Anna Hopkins,47,1.0,31.0,10294.0,100.0,502.0
Emily Ferguson,48,2.0,,7689.0,159.0,396.0
Tanner Williams,52,2.0,40.0,3456.0,94.0,354.0
Steven Solis,49,4.0,61.0,9729.0,103.0,291.0
Steven Nelson,53,,13.0,3475.0,89.0,546.0
Larry Williams,53,4.0,24.0,1502.0,132.0,303.0
Natalie Kennedy,61,5.0,44.0,1087.0,146.0,207.0
David Brown,21,1.0,58.0,16969.0,111.0,732.0
David Washington,18,1.0,58.0,16969.0,111.0,732.0
Angela Parker,25,,110.0,15530.0,127.0,
Angela Shannon,20,9.0,90.0,17976.0,157.0,447.0
Jennifer Baker,24,,52.0,19265.0,89.0,483.0
Megan Horn,45,4.0,52.0,7665.0,132.0,459.0
Javier Moore,63,3.0,45.0,4636.0,67.0,232.0
Jennifer Lewis,57,,28.0,4518.0,129.0,667.0
Kevin Baker,49,2.0,76.0,8752.0,86.0,
Rebecca Padilla,21,7.0,62.0,13460.0,112.0,620.0
Robert Martin,58,1.0,35.0,4435.0,92.0,285.0
Wendy Mitchell,31,5.0,36.0,15242.0,118.0,670.0
Mark Merritt,29,0.0,82.0,10168.0,78.0,660.0
Michael Johnson,39,,46.0,8637.0,70.0,511.0
Patrick Brooks,62,2.0,22.0,3426.0,92.0,473.0
Brett Sellers,41,2.0,27.0,8390.0,130.0,564.0
Paul Hernandez,53,,40.0,,126.0,
Richard Mooney,58,1.0,46.0,,157.0,307.0
Melissa Nunez,48,1.0,63.0,6648.0,74.0,520.0
Vanessa Mullen,42,3.0,26.0,,168.0,359.0
Angela Brown,47,3.0,,9684.0,97.0,436.0
Justin Curtis,28,4.0,53.0,11951.0,145.0,586.0
Elijah Hernandez,24,4.0,108.0,13253.0,138.0,742.0
Christopher White,38,6.0,69.0,6557.0,139.0,401.0
Catherine Reed,26,9.0,49.0,15386.0,114.0,572.0
Mitchell Mclaughlin,56,2.0,,2787.0,164.0,101.0
Allen King,61,2.0,12.0,,174.0,255.0
Ernest Davis,64,3.0,23.0,4156.0,76.0,579.0
John Ortiz,37,,45.0,11842.0,,476.0
Kimberly Meyer,20,12.0,117.0,13676.0,87.0,849.0
Monica Gonzalez,47,4.0,76.0,,129.0,374.0
Amber Sullivan,53,3.0,,4124.0,160.0,607.0
Kyle Wilcox,43,1.0,47.0,,117.0,301.0
Dr. Kathleen Garza MD,23,,59.0,15590.0,98.0,471.0
Linda Miller,63,3.0,47.0,3434.0,70.0,698.0
Cathy Reyes,20,5.0,86.0,19210.0,158.0,
Kevin Rhodes,20,14.0,104.0,13706.0,102.0,421.0
Yolanda Lee,24,14.0,63.0,17554.0,132.0,847.0
Maria Johnson,28,8.0,93.0,14002.0,130.0,435.0
Manuel Gallegos,30,,78.0,13437.0,127.0,697.0
Jessica Carter,32,9.0,59.0,10533.0,,786.0
Robert Smith,48,5.0,64.0,8894.0,74.0,604.0
Allison Harris,61,4.0,49.0,2711.0,141.0,379.0
Erin Tanner,54,3.0,32.0,,,667.0
Carol Rice,21,10.0,115.0,19260.0,152.0,708.0
Lauren Wilkerson,63,1.0,35.0,1786.0,119.0,351.0
Samantha Garcia,37,3.0,45.0,,116.0,321.0
Carrie Gomez,59,4.0,40.0,4817.0,97.0,583.0
Scott Hansen,23,2.0,,12251.0,149.0,624.0
David Mcdaniel,60,5.0,45.0,3338.0,86.0,662.0
Erica Sims,31,11.0,63.0,12403.0,,508.0
Andrea Kelly,57,,38.0,,80.0,572.0
Veronica Warren,37,7.0,39.0,9666.0,116.0,472.0
Ruben Lewis Jr.,28,6.0,65.0,11668.0,151.0,570.0
Ronald Ramirez DVM,50,7.0,,7781.0,,283.0
Cristian Howard,18,7.0,,7781.0,,283.0
Steven Walker,48,5.0,28.0,7501.0,71.0,548.0
Stacey Haas,20,5.0,,19828.0,125.0,492.0
Kyle Chavez,62,0.0,15.0,4819.0,144.0,616.0
Brandon Peters,18,0.0,15.0,4819.0,144.0,616.0
Patricia Vance,19,14.0,85.0,16888.0,110.0,430.0
Robin Lin,48,6.0,50.0,11408.0,72.0,324.0
Kathy Lutz,58,2.0,22.0,2113.0,107.0,430.0
Michael Buck,55,2.0,43.0,2644.0,,594.0
Ashley Kelly,31,9.0,57.0,15510.0,101.0,516.0
Jeffrey Wise,20,7.0,84.0,15153.0,97.0,754.0
Terry Stevens,53,0.0,15.0,2249.0,147.0,
Douglas Cobb,63,1.0,30.0,,120.0,511.0
Ann White,34,10.0,48.0,8754.0,115.0,368.0
Andre Turner,28,,67.0,13651.0,146.0,476.0
Angela Swanson,58,2.0,,1682.0,163.0,392.0
Kimberly Holder,18,2.0,,1682.0,163.0,392.0
Danielle Lutz,36,,30.0,7245.0,126.0,
Tiffany Fuller,62,1.0,44.0,3327.0,87.0,
Brian Sims,62,2.0,42.0,1295.0,151.0,
Tyler Fletcher,26,2.0,38.0,12973.0,80.0,670.0
Jack Adams,34,7.0,98.0,11052.0,136.0,
Mark Jones,63,0.0,32.0,3626.0,126.0,674.0
Elizabeth Wilson,48,,29.0,7871.0,148.0,593.0
Garrett Smith,47,2.0,60.0,7345.0,88.0,388.0
Kathy Robertson,29,3.0,86.0,14662.0,160.0,453.0
David Adams,45,6.0,68.0,11866.0,153.0,229.0
Samantha Chen,53,2.0,29.0,3947.0,,536.0
Tony Meyer,50,2.0,58.0,9231.0,94.0,462.0
Brittany Flynn,22,11.0,,18626.0,159.0,583.0
Jack Ramirez,32,2.0,38.0,,161.0,729.0
Monica Nelson,30,10.0,95.0,11329.0,114.0,480.0
Timothy Lee,49,7.0,45.0,8259.0,77.0,
Jon James,44,5.0,59.0,8225.0,139.0,367.0
Jason Mitchell,30,2.0,96.0,,113.0,
Daniel Owen,34,3.0,56.0,8568.0,139.0,583.0
Nichole Patel,60,4.0,30.0,,146.0,288.0
Melissa Barnett,39,7.0,26.0,6235.0,125.0,209.0
Brett Matthews,42,2.0,47.0,10329.0,96.0,274.0
Steven Greene,27,3.0,93.0,9895.0,,546.0
Joshua Fernandez,50,,60.0,8339.0,151.0,363.0
Jessica Jones,48,,60.0,8256.0,149.0,633.0
Melissa Martinez,38,3.0,69.0,8300.0,121.0,212.0
Daniel Hansen,20,2.0,101.0,14300.0,92.0,614.0
Amy Harrell,41,2.0,28.0,6041.0,91.0,397.0
Thomas Rojas,51,3.0,22.0,2087.0,82.0,312.0
Jennifer Wallace,23,3.0,107.0,13571.0,155.0,823.0
Scott Scott,29,,46.0,14947.0,,
