Name,Steps,HeartRate,Calories,Distance,Duration,Age
Paul Rodriguez,,,877.0,11.48,81.0,55.0
Linda Bridges,6395.0,,605.0,14.02,34.0,57.0
Danielle Ruiz,15408.0,66.0,196.0,3.23,,
Wanda Ho,,173.0,689.0,9.08,,38.0
Wendy Freeman,,120.0,,0.64,113.0,55.0
Wendy Clark,2119.0,88.0,742.0,3.87,58.0,
Melinda Stewart,14325.0,110.0,283.0,,70.0,62.0
Amber Lowery,3799.0,,896.0,11.15,90.0,51.0
Jake Thornton,,,,,,62.0
Jerry Perry MD,4150.0,119.0,785.0,12.5,117.0,34.0
Anita Oneal,12692.0,143.0,864.0,,,41.0
Andrea Sherman,,144.0,605.0,2.12,27.0,
Judy Hester,16046.0,152.0,,6.07,65.0,42.0
Victoria Pena,7419.0,147.0,784.0,12.86,116.0,50.0
Kimberly Smith,10950.0,147.0,383.0,8.69,51.0,40.0
Brittney Dillon,14150.0,160.0,211.0,9.74,,31.0
Matthew Guerrero,18014.0,168.0,475.0,,75.0,22.0
Billy Johnson,,128.0,544.0,13.28,36.0,33.0
Larry Little,9060.0,122.0,325.0,13.03,110.0,49.0
Diane Roberts,3358.0,140.0,141.0,2.21,55.0,43.0
Peter Paul,,71.0,618.0,14.77,,45.0
Jessica Robertson,4515.0,101.0,883.0,13.03,30.0,57.0
James Duran,9561.0,176.0,207.0,11.06,63.0,43.0
Misty Shepard,,66.0,531.0,5.33,117.0,52.0
Ronald Wolf,8082.0,120.0,547.0,1.68,31.0,30.0
Brittany Horn,18410.0,129.0,610.0,10.92,43.0,56.0
Debra Graves,12253.0,117.0,638.0,10.02,7.0,
Amanda Myers,3764.0,104.0,485.0,0.67,81.0,
Roy Garcia,,133.0,398.0,12.27,8.0,35.0
Ana Dyer,9875.0,176.0,,13.07,101.0,25.0
Sarah Norman,3121.0,,638.0,5.71,111.0,40.0
Rachel Williams,7836.0,147.0,707.0,10.91,13.0,35.0
Cody Williams,19154.0,127.0,206.0,,,
George Mueller,,134.0,124.0,6.29,,45.0
Colleen Chavez,11373.0,156.0,140.0,11.53,41.0,26.0
Claire Davis,,173.0,,11.56,,42.0
Maria Alvarez,14480.0,62.0,758.0,1.71,63.0,
Anthony Curry,9984.0,,835.0,8.64,53.0,
Elizabeth Wells,12036.0,133.0,219.0,1.3,43.0,60.0
Nancy Mathews,11369.0,74.0,,,30.0,
Scott Thomas,11812.0,153.0,602.0,1.73,38.0,55.0
Joseph Smith,,160.0,217.0,6.55,,22.0
Bobby Benson,6069.0,156.0,274.0,7.51,79.0,22.0
Brandon Tucker,11453.0,99.0,280.0,12.18,30.0,59.0
Mr. David Williams,2374.0,171.0,485.0,13.57,41.0,51.0
Joseph Walter,19374.0,,,,,27.0
Joshua Harris,18093.0,173.0,347.0,9.38,51.0,22.0
Andrew Ramirez,13542.0,144.0,836.0,14.09,,25.0
Jeffery Dougherty,10510.0,102.0,669.0,7.32,29.0,26.0
Jessica Villegas,1811.0,133.0,856.0,14.23,95.0,
Gregory Jenkins,1154.0,71.0,453.0,,83.0,49.0
Amy Watson,3524.0,91.0,186.0,3.3,,20.0
Jonathan Brooks,2148.0,85.0,546.0,8.54,80.0,32.0
Jerry Gilbert,3603.0,,820.0,11.01,40.0,19.0
Michael Moore,11343.0,,,2.59,53.0,61.0
Andrew Fox,9373.0,150.0,683.0,8.94,,30.0
Antonio Lopez,1088.0,60.0,415.0,,,48.0
David Cervantes,16870.0,95.0,657.0,13.32,62.0,27.0
Erin Donovan,12122.0,175.0,402.0,14.38,69.0,26.0
Alex Burns,8321.0,,395.0,4.78,13.0,23.0
Shannon Obrien,3627.0,,109.0,9.56,23.0,59.0
Hunter Reyes,,110.0,389.0,,64.0,56.0
Kristina Arias,1426.0,163.0,619.0,,85.0,20.0
Allison Newton,2960.0,62.0,,,36.0,
Christopher Harris,15703.0,174.0,225.0,13.48,,
Tyler Wallace,12890.0,93.0,322.0,6.77,68.0,30.0
Kimberly Kelly,,69.0,777.0,12.31,81.0,50.0
Stephanie Martinez,9942.0,93.0,717.0,1.4,,58.0
Lee Johnson,15609.0,118.0,,6.01,43.0,61.0
Jorge Wade,11431.0,,781.0,5.33,35.0,56.0
Rebecca Morgan,,,800.0,4.63,58.0,46.0
Derek Gregory,11758.0,,245.0,3.26,107.0,22.0
Karen Lawson,,133.0,808.0,13.06,85.0,
Sandra Sutton,17987.0,,401.0,12.88,24.0,23.0
Patricia Hudson,,,121.0,7.13,,
Kathryn Stanley,13689.0,138.0,246.0,,77.0,22.0
Patrick Erickson,,76.0,,4.74,90.0,
Jason Bauer,9661.0,,557.0,14.39,28.0,48.0
Ricky Flowers,4768.0,142.0,622.0,14.1,35.0,61.0
Joanna Walker,4047.0,,705.0,10.74,21.0,55.0
Crystal Ellis,16322.0,134.0,,,116.0,44.0
April Castro,,155.0,,14.26,52.0,
Luis Hall,3241.0,95.0,699.0,13.95,71.0,23.0
Heather White,2991.0,,654.0,4.68,25.0,
Gina Hall,6210.0,82.0,,2.42,117.0,35.0
Brandi Hatfield,7189.0,127.0,,,38.0,49.0
Kara Clark,6810.0,80.0,,14.45,115.0,
Sarah Rivera,3604.0,174.0,174.0,,,64.0
Alyssa Chan,17057.0,163.0,,5.74,48.0,55.0
Patricia Garcia,16803.0,64.0,,,7.0,54.0
Jeremiah Santiago,9193.0,,338.0,14.45,73.0,63.0
Emily Howard,12444.0,118.0,,8.63,65.0,48.0
Brian Garner,,83.0,104.0,2.78,,18.0
Patrick Stafford,7244.0,,151.0,7.47,,35.0
John Jones,1689.0,108.0,678.0,12.53,104.0,36.0
Tony Mccormick,19130.0,116.0,862.0,1.74,96.0,55.0
Kathryn Little,9181.0,145.0,146.0,7.21,21.0,18.0
Brian Allen,12225.0,94.0,,,,19.0
Seth Ramos,3020.0,80.0,718.0,,65.0,59.0
Destiny Hart,2309.0,123.0,146.0,3.32,106.0,61.0
Margaret Anderson,4109.0,,599.0,12.36,,
Mary Middleton,13957.0,141.0,,2.65,119.0,46.0
Cindy Williams,9741.0,,797.0,4.74,97.0,58.0
Jason Payne,,82.0,630.0,7.72,103.0,63.0
Mckenzie Lopez,18474.0,,597.0,14.38,73.0,56.0
Stephen Munoz,9781.0,172.0,166.0,4.3,57.0,20.0
Sarah Higgins,3279.0,167.0,880.0,,,
Christian Martin,17030.0,76.0,777.0,12.57,18.0,40.0
Thomas Powell Jr.,17013.0,155.0,638.0,11.87,26.0,50.0
Jeremiah Gonzalez,5006.0,95.0,,13.44,81.0,62.0
Margaret Rodriguez,3438.0,,594.0,2.68,59.0,
Thomas Williams,,146.0,800.0,,42.0,62.0
Hannah Leon,5249.0,,500.0,11.8,33.0,39.0
Laura Lin,8272.0,,,3.59,42.0,
Robert Oconnor,,61.0,271.0,8.01,58.0,61.0
Marissa Hughes,12393.0,162.0,,1.07,83.0,63.0
Garrett Taylor,7361.0,100.0,425.0,9.62,91.0,46.0
Patricia Wilson,,,236.0,13.71,,47.0
Mr. Patrick Lane Jr.,8813.0,160.0,,12.44,108.0,46.0
Christopher Wu,10796.0,92.0,791.0,7.94,8.0,54.0
Christopher Short,14652.0,67.0,316.0,,26.0,51.0
Ray Walker,7942.0,72.0,509.0,12.97,76.0,57.0
Grace Gutierrez,15429.0,113.0,350.0,2.42,108.0,34.0
Phillip Hart,18138.0,102.0,250.0,2.69,40.0,
James Jenkins,,82.0,329.0,14.83,109.0,
Alexis Carpenter,8956.0,96.0,522.0,9.06,25.0,
Adam Griffin,10647.0,112.0,676.0,1.97,70.0,
Rachel Martin,12330.0,132.0,643.0,1.4,108.0,
Tyler White,,122.0,,,,27.0
Megan Cooper,1145.0,140.0,859.0,8.29,62.0,56.0
Roberta Harris,10662.0,87.0,594.0,4.14,104.0,
Samantha Fleming,2684.0,114.0,,,63.0,18.0
Timothy Austin,19815.0,128.0,318.0,11.27,54.0,48.0
Gina Gutierrez,11371.0,125.0,,14.62,,56.0
Jeffery Williams,10031.0,115.0,211.0,9.97,32.0,
Linda Arroyo,19168.0,,144.0,6.42,,37.0
Justin Thompson,13247.0,145.0,438.0,5.92,,39.0
Ann Madden,16517.0,95.0,658.0,0.86,115.0,51.0
Jason Mercado,5270.0,150.0,,10.03,108.0,52.0
David Smith,2076.0,,166.0,8.24,70.0,58.0
Manuel Payne,1505.0,99.0,598.0,12.34,11.0,52.0
Bryan Anderson,,155.0,270.0,3.82,22.0,
Dennis Chen,,139.0,521.0,9.14,55.0,58.0
Mary Williams,2499.0,150.0,149.0,14.88,10.0,54.0
Nancy Payne,9681.0,171.0,815.0,,54.0,61.0
Cindy Blevins,11201.0,,543.0,,115.0,37.0
David Taylor,5729.0,152.0,705.0,6.49,106.0,29.0
Mary Barrera,,175.0,197.0,13.78,,52.0
Morgan Moreno,15677.0,128.0,,0.71,7.0,27.0
Gabriella Hawkins,15221.0,155.0,210.0,14.06,74.0,24.0
Trevor Miller,,88.0,,,31.0,
Jennifer Carrillo,17636.0,149.0,176.0,2.4,,
Stephanie Smith,18823.0,161.0,272.0,,67.0,58.0
Randy Johnson,6061.0,120.0,328.0,11.69,16.0,45.0
Amy Andrews,,76.0,707.0,,77.0,49.0
Christopher Jones,,147.0,373.0,0.97,23.0,46.0
Angela Singleton,3905.0,81.0,414.0,9.32,35.0,42.0
Ryan Marquez,4381.0,,335.0,9.34,,19.0
Nathaniel Ward,,80.0,,5.83,57.0,18.0
Patrick Martinez,4843.0,87.0,,8.15,83.0,64.0
Courtney Sheppard,16560.0,169.0,219.0,3.41,51.0,53.0
Mrs. Carla Silva,6193.0,112.0,,3.1,32.0,54.0
Calvin Rodriguez,3571.0,74.0,739.0,11.01,23.0,62.0
Scott Hughes,9476.0,120.0,203.0,14.21,56.0,63.0
Jose Lee,6575.0,146.0,,4.32,,59.0
Michael Lawrence,8663.0,,,7.43,,48.0
Matthew Griffin,,159.0,,12.55,90.0,25.0
Suzanne Williams,10742.0,111.0,635.0,10.05,103.0,52.0
Craig Sloan,14336.0,153.0,731.0,8.66,97.0,64.0
Charles Beck,5111.0,,884.0,10.42,76.0,
Wanda Haas,,171.0,333.0,14.82,,49.0
Kristen Brown,17781.0,72.0,421.0,14.77,112.0,
Seth Mcdaniel,16096.0,109.0,,12.49,66.0,43.0
Ryan Lynch,9670.0,126.0,,10.7,103.0,28.0
April Kennedy,1244.0,99.0,253.0,11.54,97.0,24.0
Deborah Coleman,5352.0,157.0,813.0,1.41,6.0,
Clifford Lopez,,89.0,,5.71,39.0,40.0
Latoya Flores,,100.0,375.0,0.61,40.0,43.0
Adam Lopez,9205.0,177.0,263.0,5.91,107.0,
Lisa Lopez,,,646.0,14.08,103.0,32.0
Charles Soto,11492.0,112.0,825.0,5.28,76.0,21.0
Trevor Garcia,6904.0,155.0,334.0,,,
Courtney Nolan,10359.0,86.0,413.0,4.62,110.0,54.0
Abigail Thompson,,174.0,210.0,12.97,20.0,
Douglas Sawyer,17244.0,143.0,,2.32,,20.0
Jeffrey Leon,,134.0,821.0,10.27,11.0,31.0
Mariah Cortez,19331.0,149.0,335.0,,33.0,62.0
William Miller,5987.0,,,7.68,50.0,
David Garza,,150.0,742.0,3.06,78.0,42.0
Christian Scott,10951.0,135.0,437.0,,86.0,39.0
Claudia Gibbs,19673.0,116.0,138.0,,108.0,45.0
Stephanie Dawson,16396.0,,862.0,11.72,16.0,36.0
Alyssa Olson,,,440.0,11.3,15.0,50.0
Carolyn Simmons,3048.0,137.0,853.0,2.27,42.0,
David Woods,,,,,96.0,43.0
Danielle Davis,10754.0,144.0,630.0,,89.0,22.0
Jade Montes,12175.0,176.0,207.0,2.6,,
Philip Warren,6430.0,112.0,555.0,13.02,115.0,25.0
Jessica Davis,7440.0,136.0,405.0,0.52,87.0,30.0
Samantha Brooks,4546.0,78.0,186.0,5.4,101.0,
Charles French,10859.0,139.0,426.0,10.0,119.0,33.0
Stephen Mullins,17872.0,167.0,415.0,12.4,8.0,
Jordan Mason,,105.0,760.0,8.63,30.0,18.0
Kristen Cabrera,7067.0,161.0,563.0,13.06,27.0,60.0
Nichole Jones DDS,14527.0,91.0,739.0,,21.0,59.0
Dana Davis,19127.0,150.0,420.0,6.82,,59.0
Jamie Jackson,15302.0,114.0,607.0,,35.0,50.0
Brian Rogers,18180.0,,235.0,6.3,,37.0
Henry Yang,5199.0,83.0,552.0,,97.0,63.0
Tammy Oconnor,19505.0,,,9.2,34.0,
Cheryl Scott,4508.0,78.0,473.0,10.48,87.0,25.0
Kathy Gillespie,3565.0,163.0,757.0,4.97,96.0,50.0
Jenna Thomas,7053.0,60.0,385.0,,41.0,45.0
Joshua Bates,6701.0,168.0,814.0,,20.0,18.0
Daniel Lee,12865.0,138.0,741.0,,,57.0
Catherine Mercado,13368.0,126.0,777.0,9.78,74.0,52.0
Robert Williams,8848.0,,349.0,8.03,88.0,44.0
Kimberly Walsh,12549.0,63.0,401.0,4.21,38.0,19.0
Michelle Riggs,10228.0,121.0,398.0,11.06,115.0,33.0
John Schmidt,,70.0,617.0,7.19,26.0,43.0
Jacob Moore,16141.0,148.0,,1.29,,38.0
Kayla Nunez,,121.0,245.0,13.63,64.0,25.0
Andrew Garrett,16566.0,91.0,890.0,0.96,104.0,28.0
Lisa Lucas,8769.0,,,,18.0,56.0
Michael Weber,3279.0,96.0,200.0,8.61,52.0,
Patrick Glover,8103.0,60.0,,2.66,52.0,47.0
David Rose,15804.0,119.0,,,,36.0
Sarah Torres,10615.0,160.0,890.0,12.74,,41.0
Christina Ford,18435.0,,,,105.0,60.0
Justin Nunez,19307.0,148.0,784.0,4.05,118.0,54.0
Melissa Mcguire,9037.0,147.0,218.0,9.69,66.0,37.0
Robert Peterson,14089.0,119.0,498.0,3.92,102.0,40.0
Shawna Blankenship DDS,13900.0,150.0,387.0,5.29,12.0,49.0
James Ramsey,9983.0,164.0,107.0,13.03,68.0,18.0
David Mcintosh,,,768.0,7.01,62.0,
Connie Banks,8575.0,106.0,363.0,8.75,11.0,43.0
James Wong,12036.0,114.0,,4.93,92.0,
Ricky Hubbard,12856.0,67.0,665.0,,33.0,24.0
Christine Mccall MD,7953.0,178.0,893.0,9.79,5.0,32.0
Amy Soto,14949.0,141.0,796.0,2.31,45.0,63.0
Maria Goodwin,1582.0,68.0,662.0,14.51,18.0,
Anthony Cameron,4237.0,81.0,534.0,,113.0,26.0
Shannon Lowery,14655.0,,438.0,,71.0,46.0
Heather Morgan,12836.0,85.0,281.0,1.3,53.0,43.0
Sherry Diaz,19178.0,128.0,344.0,4.56,,
Nancy Shepard,,73.0,,13.88,92.0,29.0
William Lee,6316.0,129.0,128.0,13.87,91.0,38.0
Jonathan Lawson,7741.0,113.0,,0.55,92.0,29.0
Jennifer Hill,12657.0,150.0,832.0,12.79,38.0,64.0
Devin Jackson,,88.0,,,72.0,
Brandon Braun III,13847.0,75.0,305.0,3.52,31.0,19.0
Brandon Anderson,18936.0,,791.0,,33.0,64.0
Charles Smith,12743.0,60.0,142.0,,49.0,34.0
Rebecca Horton,19667.0,101.0,655.0,10.82,7.0,61.0
Jason Cantu MD,13825.0,63.0,,3.35,94.0,34.0
Cassandra Dorsey,17775.0,127.0,167.0,11.9,52.0,36.0
Janet Clark,,,767.0,,43.0,28.0
Abigail Rosario,12230.0,73.0,486.0,,50.0,58.0
Victor Byrd,17737.0,65.0,224.0,11.38,106.0,59.0
Robert Keller,,159.0,,4.07,63.0,28.0
Michael Mcgee,11265.0,142.0,,,64.0,22.0
Tara Smith,,172.0,179.0,11.6,30.0,
Rebecca Johnson,18535.0,109.0,,3.34,91.0,50.0
Paul Bell,14196.0,105.0,648.0,1.73,32.0,19.0
Susan Carter,15843.0,82.0,683.0,11.65,20.0,
Debra Lam,16547.0,126.0,129.0,0.65,,27.0
Kristopher Diaz,13038.0,,626.0,2.86,102.0,62.0
Adam Marquez,2083.0,124.0,770.0,11.85,102.0,49.0
Katrina Murray,7079.0,,505.0,12.59,114.0,55.0
Joshua Martin,5743.0,171.0,,,,62.0
Shannon Gray,11313.0,,690.0,14.33,6.0,27.0
Eric Green,6771.0,104.0,335.0,10.87,114.0,35.0
Michael Moore,2127.0,77.0,188.0,0.88,84.0,
Ashley Wheeler,16506.0,,106.0,10.71,14.0,32.0
Melody Graves,14272.0,90.0,674.0,2.55,16.0,
Brenda Kelly,,101.0,,,53.0,55.0
Jeffrey Jacobson,11840.0,109.0,,13.83,84.0,21.0
Joanne Mcconnell,11933.0,,,12.46,52.0,21.0
Natalie Small,7604.0,91.0,829.0,5.12,,18.0
Miss Anna Hall,12648.0,,498.0,14.17,53.0,49.0
Janet Ruiz,1947.0,149.0,451.0,12.42,65.0,
Ross Taylor,13443.0,107.0,,9.95,102.0,53.0
Megan Simpson,2297.0,61.0,,,69.0,
Jenna Sanford,16752.0,135.0,524.0,2.71,31.0,50.0
Sarah Hester,14039.0,133.0,740.0,10.46,70.0,49.0
Gregory Bryant,4493.0,82.0,590.0,11.23,37.0,58.0
Jonathan Higgins,4640.0,143.0,760.0,8.49,75.0,57.0
Alison Herman,19591.0,132.0,195.0,7.65,28.0,24.0
Roberto Burgess,2968.0,,,3.26,80.0,51.0
Antonio Allen,,104.0,391.0,2.07,89.0,40.0
Richard Thompson,,100.0,,6.2,93.0,59.0
Daniel Robertson,14015.0,,735.0,,37.0,63.0
