Name,Steps,HeartRate,CaloriesBurned,HoursOfSleep,DistanceWalked,ActivityType
Joseph Myers,15713,69.9,2272.2,9.3,3.25,Resting
Shane Thompson,8066,62.4,2364.6,4.3,5.45,Resting
Meredith Hardy,14879,76.1,2225.6,8.2,12.19,Cycling
Jason Jacobs,16525,76.7,2479.8,5.5,8.12,Resting
Heidi Robinson,13758,75.6,2065.5,6.7,9.52,Resting
Brett Wood,14242,89.2,1683.3,9.2,4.07,Walking
Mariah Morgan,14041,82.1,2020.5,8.6,1.72,Resting
Kevin Nguyen,10169,82.3,1615.7,9.7,10.41,Resting
Jaime Richardson,9643,78.8,2674.8,5.9,4.37,Cycling
Joshua Ruiz,17530,66.8,1616.4,4.0,1.49,Cycling
Todd Martin,11861,78.2,1877.7,5.4,3.6,Running
Hayden Chapman,7422,69.7,2451.1,8.4,4.94,Cycling
Daniel Moore,16006,68.5,1868.6,8.0,3.96,Walking
Hannah Moore,19152,75.7,1899.5,7.3,14.97,Resting
Shannon Brennan,19990,76.5,2043.4,7.0,8.82,Running
Chad Decker II,9957,80.7,2648.7,4.7,1.34,Resting
Rebecca Allen,4647,89.5,1442.1,5.9,8.71,Resting
Michael Long,9911,69.8,2441.9,5.8,3.46,Running
Monica Carter,11985,73.9,1960.9,5.9,1.66,Walking
Ethan Levine,16847,72.9,2363.7,6.8,9.1,Cycling
Ronald Fleming,9387,81.6,2183.8,6.5,4.19,Walking
Dominic Jensen,11653,69.1,2411.7,8.8,2.99,Cycling
Michael Kennedy,3363,62.5,1723.3,9.5,10.65,Walking
Jenna Martinez,6232,101.4,2624.1,7.9,9.71,Cycling
Marisa Patterson PhD,13941,64.0,2349.6,6.8,12.07,Walking
Phyllis Gray,17271,59.5,2503.8,8.9,4.51,Running
Jack Blake,1695,81.6,2235.2,6.8,8.61,Running
Kirsten Ewing,17736,62.8,2223.8,9.4,14.84,Walking
Ryan Perez,7519,75.6,1951.0,7.5,10.14,Running
Crystal Nguyen,13790,62.8,2463.6,9.2,7.3,Walking
Joseph Sutton,7841,72.9,2083.8,6.9,2.48,Resting
Kimberly Hoffman,17865,78.9,2578.8,7.6,9.46,Cycling
Dean Marquez,12566,61.9,2432.8,8.8,12.66,Walking
Rachel Adkins,6613,70.5,2371.0,8.2,8.51,Resting
Andrew Hendrix,10790,81.7,2285.6,8.6,13.87,Cycling
Louis Beck,19435,72.6,1430.8,9.7,4.18,Walking
Christina Hernandez,3301,92.1,2308.4,9.0,6.83,Running
Karla Gonzalez,5844,69.8,2270.2,6.7,5.11,Running
Diana Robinson,8971,90.4,2004.2,4.4,14.2,Resting
Jeffrey Walker,4829,85.5,2055.7,9.7,12.64,Walking
Jennifer Morton,16807,83.3,2552.2,5.8,2.91,Cycling
Manuel Williams,2416,81.4,2913.8,8.4,14.67,Running
Christian Mccann,6487,80.9,2647.4,8.1,11.69,Resting
Jeremy Jennings,1000,62.0,1915.6,7.2,3.42,Running
Joshua Clay,4098,68.5,1911.3,8.0,1.34,Resting
Megan Lawrence,1525,89.1,2361.9,7.4,13.26,Resting
Patrick Buchanan,16712,73.8,1709.2,4.7,9.43,Walking
Alicia Lewis,10089,84.5,1981.3,4.0,5.78,Resting
Anthony Baker,10822,84.2,2978.3,6.2,9.87,Cycling
Kevin Norman DVM,9698,72.4,2314.8,6.2,12.02,Walking
Sarah Cox,16999,84.3,2734.0,9.5,8.31,Resting
Angela Garcia,14283,59.5,2200.4,9.9,14.38,Running
Paul Garcia,4786,64.9,1887.4,9.1,3.39,Walking
Justin Garner,10885,68.5,2166.7,8.3,9.45,Resting
Joshua Howard,9318,80.4,2561.7,6.0,10.0,Walking
Michelle Martinez,18790,69.1,2684.9,7.6,13.02,Running
Kimberly Chavez,7718,74.5,1836.2,5.4,2.59,Running
Luis Clark DDS,4158,69.6,2381.1,8.6,11.51,Resting
Sara Hunt,9952,67.0,2327.0,9.7,6.7,Walking
Janice Henry,12712,78.6,2635.0,6.1,13.01,Walking
Lisa Wright,16461,85.2,2119.3,4.5,5.57,Walking
Alicia Riley,13875,67.3,2233.7,5.9,13.01,Resting
Julie Garcia,5950,62.8,2968.3,6.8,13.73,Walking
James Hudson,14294,73.0,2117.6,4.3,9.13,Resting
Laura Oneill,15408,74.1,2001.5,7.8,1.41,Resting
Tracy Mitchell,7523,75.7,1520.0,9.9,2.71,Cycling
Randall Dixon,19834,74.5,2568.7,5.8,7.91,Running
Jesse Olson,4624,77.4,2206.8,7.0,14.57,Walking
Ashley Adkins,10311,70.0,2574.5,5.9,13.54,Running
Natasha Grimes,16270,71.5,2097.2,4.7,3.69,Walking
Anthony Rios,14031,54.0,1540.8,5.2,11.68,Running
Jason Ortega,12573,70.5,2596.6,5.4,8.26,Running
William Hernandez,13153,72.0,2459.8,8.3,7.5,Cycling
Jessica King,2411,67.0,2984.3,9.9,6.29,Walking
Kristin Graham,8162,85.8,2266.0,6.2,6.83,Walking
Matthew Johnson,6082,64.8,2110.0,9.9,5.29,Running
Allison Wright,9425,64.9,1836.4,8.2,5.62,Walking
Melissa Dyer,2334,80.4,2507.6,6.2,7.63,Running
William Mason,12539,81.1,2366.4,7.3,11.76,Running
Mark Woods,12587,84.5,2201.8,9.0,4.53,Walking
Kim Vance,19723,75.9,1772.5,9.5,2.09,Cycling
Jessica Castillo,16603,73.5,2110.0,7.8,13.81,Cycling
Mark Curry,14441,58.1,1951.6,8.1,4.65,Running
Charles Best,10001,75.3,2009.1,6.5,1.82,Running
Marcia Sanchez,15612,69.5,1573.3,4.5,7.4,Resting
Anthony White,9151,59.0,2406.8,7.8,8.59,Cycling
Sarah Mccormick,15434,77.5,2220.8,9.9,4.74,Walking
Christopher Potts,1279,63.2,1540.2,8.1,6.35,Cycling
Amy Mitchell,16618,47.3,2079.3,5.5,4.82,Walking
Lori Green,10656,92.5,2667.7,9.2,8.36,Resting
Shawna Flynn,4716,72.0,2461.7,6.3,2.63,Resting
Joshua Campos,4912,69.2,1431.2,8.7,8.41,Cycling
Jasmine Briggs,6437,88.7,1717.6,6.9,9.6,Walking
Charles Howard,15613,76.4,1845.5,9.5,11.84,Resting
Robert Reeves,2277,72.5,2033.3,6.3,4.87,Cycling
George Watkins,19320,75.2,2457.5,5.8,4.58,Walking
Debra Garcia,17386,70.7,2474.7,6.2,1.95,Walking
Mark Woods,2999,68.7,2145.7,5.5,6.41,Walking
Dylan Walsh,9234,100.4,2634.8,5.0,6.18,Running
Jennifer Hayes,12642,74.3,1538.7,4.6,6.77,Walking
Mr. Anthony Simmons,6910,72.2,2449.2,9.9,13.72,Resting
Randall Mccarty,4548,78.1,1687.6,7.0,14.32,Resting
Manuel Summers,15986,94.8,2425.3,4.4,5.77,Walking
Gabriella Gray,9258,82.9,1998.6,6.7,3.88,Resting
Patrick Hernandez,17194,76.8,2420.2,5.4,6.08,Resting
Justin Rojas,5743,89.6,2589.0,5.1,14.13,Running
Sarah Nichols,2558,82.4,1439.0,7.4,5.65,Running
Heidi Nunez,6292,74.7,2236.6,7.5,7.55,Cycling
Chelsea Deleon,13265,81.8,2101.7,5.3,8.87,Resting
Erica Baker,6475,87.3,2013.7,9.7,3.64,Running
Lisa Rose,10896,59.7,2170.0,8.9,1.97,Resting
Anthony Serrano,12583,85.2,2139.7,8.2,5.1,Resting
Sara Knox,7717,81.1,2523.1,9.1,12.88,Walking
Lori Levy,10249,73.2,1172.5,9.6,3.5,Running
Taylor Stokes,12185,65.4,2504.5,5.6,7.52,Cycling
Keith Gonzales,19452,89.5,1910.9,5.4,10.99,Walking
Lisa King,15216,79.7,2708.1,8.6,9.66,Running
Terry Weaver,13126,90.5,2015.1,4.1,2.0,Cycling
Tamara Jones,11634,79.8,1592.8,5.6,6.78,Walking
Amanda Collins,10178,73.7,2225.8,7.2,7.4,Cycling
Samantha Sutton,17498,63.2,2234.7,8.4,3.98,Cycling
Christopher Mcguire,3600,65.8,2060.7,5.6,5.48,Running
Nichole Brown,17686,89.9,1761.0,6.0,10.5,Walking
David Rhodes,8199,74.5,1702.5,7.8,14.12,Resting
Marissa Anderson,4061,68.5,2445.6,7.9,8.23,Cycling
Angela Hood,12303,51.9,2568.7,5.9,1.99,Cycling
Jacob Wallace,11732,63.0,1851.3,4.9,8.1,Cycling
Crystal Jones,7764,79.7,1917.3,9.9,11.38,Walking
Tara Howell,13489,79.4,2020.7,6.6,3.22,Resting
Kelly Lewis,3724,69.9,2929.6,6.7,11.9,Running
Denise Jennings,16090,69.2,2045.2,9.5,5.47,Cycling
Andrew Black,16158,56.6,1459.1,6.3,8.11,Cycling
Cynthia Salazar,12545,63.2,2479.3,8.9,1.44,Running
Sharon Tran,3843,66.1,2477.2,4.1,6.17,Walking
Grant Wilson,3703,78.7,1727.0,7.7,2.42,Cycling
Michael Robbins,1116,74.0,2003.0,6.0,4.16,Resting
Leslie Carroll,1575,83.9,2588.0,6.1,6.53,Resting
Juan Robinson,3015,73.3,1815.2,9.3,14.35,Cycling
Lawrence Cooper,1599,63.9,2765.0,7.5,10.78,Walking
Natalie Thomas,9307,83.7,2481.5,4.7,1.73,Cycling
Lauren Martin,17014,65.7,2613.0,4.7,7.06,Running
Stephanie Bailey,2034,60.4,1844.6,4.7,8.17,Running
Shawn Monroe,17491,67.8,1991.4,6.5,6.59,Resting
Christina Gibbs,17108,70.6,2133.2,5.9,4.72,Cycling
Ryan Norman,3821,75.4,2376.8,7.7,6.9,Cycling
Tina Griffin,19149,72.9,2213.3,6.6,7.27,Walking
John Harmon,17042,82.5,1707.1,9.7,1.72,Resting
Dennis Beck,11320,85.1,2029.8,4.6,10.18,Walking
Sarah Anderson,5386,88.1,2484.5,7.2,14.13,Walking
Tracey Sharp,4871,86.0,2347.2,6.5,7.01,Walking
Brandy Peterson,16925,68.1,1990.5,9.7,4.14,Walking
Caitlin Lawrence,1993,70.9,2192.5,7.1,5.25,Walking
Kevin Smith,4562,78.5,2030.9,9.4,1.69,Cycling
Anita Webb,12302,79.9,2863.0,7.0,13.68,Walking
Christopher Simpson,9243,64.2,1832.1,9.6,5.72,Running
Andrew Johnson,12238,80.5,1629.7,6.9,13.63,Walking
Catherine Davis,12978,88.9,2597.3,6.9,8.93,Walking
Jessica Waters,3230,86.0,2900.6,9.2,12.03,Resting
Gabrielle Adams,11539,62.3,1985.6,4.5,14.03,Walking
Robert Winters,19603,56.0,1900.3,5.9,11.31,Walking
Kathleen Savage,17033,74.7,2234.9,9.1,6.39,Cycling
Shannon Jenkins,3057,49.9,1981.6,4.8,5.68,Running
Edgar Ramirez,1963,84.8,1876.7,7.2,8.59,Resting
Madison Anderson,1041,66.9,1967.2,9.9,5.8,Running
Carlos Anderson,11135,73.5,2150.8,6.5,4.89,Cycling
Erika Butler,16736,79.8,2004.2,6.0,5.64,Walking
Anthony Brown,13648,71.3,1712.3,8.3,2.26,Cycling
Kimberly Huber,19795,81.0,1345.7,8.9,5.14,Running
Nancy Wright,5393,78.3,1901.5,6.9,4.01,Cycling
Lisa Gill,11794,77.6,2070.7,9.1,8.02,Cycling
Sarah Garcia,18619,73.6,2436.6,5.5,5.87,Running
Brent Garcia,16657,70.7,2790.7,9.7,4.78,Resting
Maria Huerta,8942,70.6,1753.1,6.2,9.56,Cycling
Kathryn Scott,1822,80.7,2269.1,4.2,7.65,Walking
Sharon Cunningham,9399,87.4,1715.4,4.0,7.7,Resting
Ariel Alvarez,16011,68.4,2271.6,8.4,7.3,Running
Christine Graham,10077,77.7,2901.7,4.0,10.18,Resting
Julia Hawkins,4662,88.4,1796.6,6.6,12.11,Resting
Joseph Carr,16036,84.5,2619.1,4.4,9.09,Running
Anthony Goodwin,1066,59.8,2474.3,6.5,5.56,Cycling
Kenneth Davis,3609,66.7,2338.1,4.8,5.56,Cycling
Jillian Jones,4895,86.1,1972.0,6.3,4.43,Resting
Glenn Henderson,9501,77.5,2061.2,7.8,1.02,Running
Nicholas Stewart,19113,64.0,2043.5,4.2,14.17,Resting
Mr. Cory Frank,4066,79.3,1829.7,8.6,4.69,Walking
Allison Ponce,6497,68.1,1634.0,4.1,14.32,Running
Caroline Jones,14660,80.7,1899.6,9.5,7.84,Cycling
Glen Watson,14683,79.0,1806.8,5.0,13.78,Cycling
Cameron Castillo,18131,53.3,1609.3,4.6,3.75,Walking
William Garner,1463,65.4,2629.9,4.7,8.85,Cycling
Emily Clark,2938,69.3,2792.6,5.7,6.29,Running
Gary Carter,5921,83.5,1942.8,6.5,14.96,Walking
Amanda Knox,14050,71.0,2272.9,9.1,7.25,Running
Lisa Johnson,18481,77.4,2459.9,4.5,10.48,Running
Jonathan Warren,12340,67.2,1612.1,9.3,12.06,Resting
Robert Oliver,6458,92.1,2329.3,7.7,6.36,Running
Traci Smith,10724,66.7,1877.5,5.1,2.14,Walking
Maria Mcgee,16940,72.8,2529.8,7.9,10.59,Running
Jennifer Johnson,1655,65.8,2015.5,4.1,3.87,Cycling
Crystal Williams,15270,85.2,2301.0,5.9,4.0,Cycling
Tammy Collins,10464,87.2,1795.0,5.5,2.02,Cycling
Joseph Kerr,14661,84.0,2052.9,4.3,2.69,Running
Ashley Oliver,18125,79.3,2232.4,8.1,6.54,Resting
Terry Grant,18867,76.1,2477.1,4.6,13.29,Resting
Miss Jamie Singh,11657,81.3,2494.7,4.2,3.7,Cycling
Andrew Williams,17461,77.5,2869.6,7.5,9.77,Walking
Stephen Cook III,7132,59.4,2477.5,9.7,4.1,Running
Mark Walter,8448,78.5,1520.2,8.4,5.49,Walking
Alexander Davis,1316,56.1,1671.1,5.7,5.07,Resting
Lynn Boone,19267,92.6,1337.1,9.2,14.74,Walking
Tom Fowler,9416,84.5,2688.1,8.2,7.37,Resting
Jimmy Russell,14243,84.2,2704.9,4.2,3.49,Running
Donna Henderson,9908,79.5,2094.7,9.8,9.14,Cycling
Robert Haley,18131,54.5,2327.7,9.3,11.87,Resting
Sharon Lyons,18694,65.8,2397.3,7.3,1.55,Cycling
Nicole Weaver,7781,77.8,1909.0,4.2,12.14,Running
Patricia Leonard,16385,73.6,2593.2,5.1,14.22,Walking
Stephanie Mccall,12135,81.8,2423.3,9.8,3.54,Walking
Philip Stone,15602,74.9,2613.8,9.1,8.75,Running
Thomas Benitez,4522,74.9,1963.4,6.7,9.74,Resting
Connie Lopez,17294,96.6,2451.0,7.3,2.5,Resting
Dillon Frye,7264,70.0,2212.1,9.2,7.17,Cycling
Raymond Hooper,2719,52.3,1842.3,4.8,11.03,Resting
Daniel Hogan,16617,76.9,1818.5,9.9,1.31,Cycling
Darryl Briggs,7592,82.6,1683.6,9.1,6.0,Cycling
Richard Chaney,5337,81.8,2391.9,7.4,5.8,Running
Tiffany Vasquez DVM,17948,57.3,2893.1,8.9,7.73,Running
Adam Morales,16855,85.9,2233.4,8.2,7.08,Walking
Allison Rivera MD,10325,58.9,2278.2,9.7,4.19,Running
Stacey Myers,15505,74.8,1964.0,8.9,10.61,Cycling
Amber Fisher,15304,60.2,1895.1,7.6,5.02,Cycling
Daniel Whitaker,18854,55.7,2106.0,7.7,3.69,Walking
Helen Valdez,2896,82.8,2285.6,8.6,8.06,Resting
Nathan Edwards,19000,89.4,2188.8,7.1,12.02,Running
Brian Kane,19764,84.2,2603.4,8.6,8.27,Walking
Marilyn Tucker,3589,76.5,2579.4,7.4,9.91,Cycling
Angel Thomas,19855,90.3,2113.9,9.4,1.69,Walking
Dustin Fox,10903,67.0,2749.6,4.1,13.34,Walking
Michelle Jones,17567,59.2,2307.7,6.5,13.02,Running
Matthew Erickson,5267,83.5,2260.0,8.5,11.62,Cycling
John Wade,19356,88.0,2230.2,6.2,7.09,Running
Zachary Hoffman,17909,81.8,2362.8,6.9,10.44,Running
Kendra Hines,9495,80.2,2174.9,9.2,1.1,Running
David Smith,10673,76.8,3131.0,5.7,14.41,Running
Patrick Hill,13164,63.6,2727.3,4.9,1.23,Cycling
Andrea Cobb,7946,77.9,2677.6,9.9,14.51,Resting
Chelsea Oliver,13072,80.8,2768.0,6.8,6.01,Cycling
Calvin Foster,18662,74.9,2033.7,6.1,13.3,Resting
Edward Adams,14218,60.6,2094.2,6.6,6.58,Resting
Bryan Grimes,7812,65.0,3426.8,8.1,8.55,Cycling
David Hall,3115,58.9,2559.7,6.1,1.0,Walking
Mary Barton,17309,69.3,2057.2,9.3,11.17,Walking
Nicole Bass,17355,60.5,2259.9,8.2,9.85,Resting
Kenneth Martinez,19091,73.7,1874.2,9.0,10.9,Cycling
Matthew Young,6133,65.7,2423.5,5.0,1.51,Cycling
Lacey Shaffer,13117,55.5,2961.5,7.3,2.24,Walking
Suzanne Cummings,4716,84.1,2468.9,6.2,12.26,Resting
Evan Lee,15393,74.2,1450.7,5.2,11.36,Running
Carlos Collins,17835,82.9,2092.7,4.2,11.84,Resting
David Gray,14420,71.2,1854.3,7.4,6.64,Running
Mary Alexander,14449,74.4,1808.6,8.2,2.23,Running
Lori White,13458,54.9,2248.8,8.8,1.17,Resting
Patrick Hart,14211,70.6,2341.7,5.8,12.23,Cycling
Timothy James,11091,78.8,1770.5,7.0,4.29,Walking
Diane Taylor,10819,62.9,1840.5,8.6,14.52,Resting
Michael Cantu,9280,70.6,2299.3,4.1,14.62,Resting
Eric Henderson,3810,79.8,1491.2,8.3,9.17,Resting
Elizabeth Manning,9577,81.7,1394.8,8.2,8.79,Cycling
Juan Peterson,12343,78.8,1933.4,9.6,7.15,Walking
Andrew Boyd,15451,72.3,1960.7,7.0,5.51,Running
Christopher Alexander,2113,79.1,1341.9,5.0,6.89,Cycling
Courtney Savage,9835,62.3,2165.8,8.9,9.15,Running
Christine Mccormick,13408,70.3,2381.7,4.6,13.67,Resting
Zachary Perez,3617,79.6,2128.4,8.8,5.67,Walking
Thomas Jackson,11637,99.3,2432.2,9.8,2.81,Cycling
Jeffrey Gardner,9120,72.5,1607.3,4.5,9.98,Cycling
Sheila Waters,8805,71.6,2481.2,9.6,6.13,Resting
Jesus Hill DVM,11572,87.8,1995.8,8.4,4.55,Cycling
Taylor Hill,16116,85.4,2565.6,6.8,8.96,Cycling
Jennifer Chung,10755,79.0,2026.0,9.4,6.13,Resting
Aaron Mata,11011,75.7,1563.0,6.3,12.85,Resting
Ann Crawford,8190,72.9,2788.8,6.6,4.37,Walking
Melissa Bell,11426,54.7,1262.2,7.1,14.58,Resting
Andrew Morse,14279,73.4,3132.2,9.2,13.81,Walking
Jason Haynes,4182,75.6,1746.6,4.7,13.69,Walking
Karen Wells,2868,75.6,2277.2,4.9,8.87,Cycling
Mrs. Jennifer Perry,7376,74.4,1791.9,8.9,6.97,Cycling
Elijah Morales,17010,87.1,2155.6,5.9,3.57,Running
Scott Merritt,5363,66.7,2085.3,9.2,14.26,Resting
Dustin Reynolds,19232,82.1,2195.3,5.9,1.0,Cycling
Jacob Parks,4491,91.7,2724.6,6.9,8.33,Walking
Anthony Elliott,1767,86.7,1707.4,9.6,13.19,Walking
Donna Bryan,19752,93.2,2332.3,5.0,9.48,Cycling
Michael Wolf,13275,69.9,1938.5,7.7,6.96,Cycling
Margaret Garcia,1784,84.2,1877.2,7.5,13.89,Running
Alexander Goodwin,8594,79.3,2372.5,9.4,12.98,Resting
Jamie Rosario,1280,85.3,2277.2,4.8,5.06,Running
Bradley Osborn,11297,54.5,2363.5,8.0,7.36,Resting
Julie George,12022,75.7,1176.6,4.1,10.21,Walking
Crystal Warren,19043,69.4,1610.2,5.5,14.12,Walking
Christopher Thompson,10327,78.1,2498.3,9.9,6.84,Resting
Kelly Gardner,2877,85.7,2833.7,7.9,12.1,Running
Brian Mckee,6937,65.2,1920.2,7.5,9.1,Running
Kimberly Cook,2586,87.2,2123.6,7.5,1.34,Resting
Jorge Hall,13499,87.5,2066.0,9.2,2.26,Running
Whitney Webb,8224,67.3,2363.6,6.6,11.05,Cycling
Mr. Jason Orr,3772,64.5,2207.2,7.4,3.15,Running
Casey Ortiz,5102,63.8,2280.5,4.7,7.19,Running
Kristine Mclaughlin,12309,56.9,2237.1,8.2,9.69,Cycling
Derek Williams,7399,72.8,1649.0,5.6,6.92,Resting
Loretta Wilson,12085,67.2,2568.8,8.8,2.36,Cycling
Rebecca Acosta,2942,86.2,2758.8,9.7,7.32,Running
Cindy Diaz,8117,75.4,2382.0,6.6,2.7,Running
Dustin Montgomery,2108,70.2,2597.9,5.8,6.26,Running
Isaac Sosa,3275,84.5,2499.3,6.0,13.23,Running
Emily Stephenson,10349,75.1,2076.0,8.4,5.01,Cycling
Charles Hood,15476,94.6,2428.4,9.1,13.97,Running
Anita Lopez,8688,78.0,1981.7,9.6,4.66,Running
Joshua Osborne,6562,90.3,2080.4,7.3,5.98,Cycling
Christina Nguyen,9804,102.5,2162.0,9.3,5.42,Running
Kristopher Guerrero,5753,42.4,2124.1,6.5,13.81,Walking
Eric Fuller,9380,69.5,2199.2,6.4,4.9,Running
Todd Bowen,19122,65.7,2490.8,4.9,14.37,Running
Gary Williams,1022,68.2,2028.5,7.8,9.41,Cycling
Kelsey White,5668,73.2,2397.0,8.0,11.07,Cycling
Steven Davis,7915,69.9,2081.4,5.4,10.25,Resting
Mary Blackwell,9892,99.7,2550.5,7.8,11.66,Walking
Tammy Hanson,13858,72.9,2476.4,9.6,13.67,Walking
Nicholas Powers,6807,68.9,1462.0,9.7,1.05,Cycling
Steven Schultz Jr.,17948,72.3,2247.4,7.8,2.38,Running
Elizabeth Vargas,10762,73.3,2021.3,7.7,3.57,Walking
Jennifer Martin,18347,73.5,2306.6,5.9,9.51,Cycling
Daniel Thompson,5974,88.4,2487.2,5.9,7.73,Walking
Michael Zamora II,14966,69.6,1695.9,8.2,5.9,Running
Melissa Lopez,16636,69.5,2010.7,7.2,6.76,Walking
James Cole,13209,84.6,2442.6,7.6,4.01,Running
Meghan Baker,6165,71.2,2723.5,4.4,10.71,Resting
William Martinez,6933,63.3,2922.6,8.0,2.34,Running
Joshua Boyle,13069,79.5,2175.8,6.3,13.22,Resting
Timothy Baker,6755,49.8,2514.3,6.4,10.48,Cycling
Ashley Reyes,2547,67.0,1979.9,7.6,1.46,Walking
Kathy Gardner,1722,75.6,2542.4,9.6,10.26,Resting
Joshua Alvarez,4659,86.7,1203.7,4.2,2.53,Running
Robin James,14829,70.5,1938.9,7.9,14.93,Resting
Theresa Velez,6140,79.5,2646.3,6.6,8.82,Cycling
Tiffany Holland,10633,69.6,2081.2,6.6,7.1,Resting
Carl Dalton,1832,82.5,2702.0,4.3,5.49,Walking
Rodney Ramsey,7979,85.1,2485.4,8.7,11.57,Walking
Katherine Lawrence,14332,70.0,1623.5,9.6,9.83,Cycling
Laurie Salinas,9493,78.6,2348.6,8.9,5.11,Resting
Clayton Jackson,6233,79.6,1867.3,6.9,6.46,Walking
Tina Deleon,4274,87.4,2038.4,8.2,11.82,Running
Tiffany Thompson,10697,69.9,2024.8,9.0,1.39,Resting
Judy Armstrong,1897,80.2,1777.4,9.2,13.78,Walking
Paul Khan,16942,73.4,2178.2,6.0,10.57,Resting
Nathan Rivera IV,2494,77.8,2083.9,6.9,4.38,Running
Christopher Perez,2726,56.8,1691.5,6.1,8.99,Cycling
Shannon Dalton,6716,62.7,2745.4,6.1,11.6,Resting
Jason Byrd,2128,78.0,1781.3,7.9,12.09,Resting
Nichole Crawford DDS,18522,81.2,2612.1,9.3,1.96,Resting
Jeffrey Leblanc,16446,80.8,2251.4,8.1,9.19,Resting
Natalie Brown,4548,84.0,2079.9,9.8,6.55,Cycling
Jon Waters MD,5280,74.1,1699.4,8.1,1.18,Walking
Joshua Ford,2630,68.1,3021.4,8.9,6.6,Resting
Mr. John Barry PhD,12758,84.2,2437.0,6.5,3.21,Running
Maria Alvarado,3730,63.8,2153.5,4.1,5.97,Running
Paul Johnson,5905,58.4,1363.5,9.2,7.53,Walking
Michelle Thomas,18640,75.7,1317.6,6.9,5.41,Running
Rebecca Malone,4697,59.6,2055.3,8.0,5.35,Walking
Brian Murphy,16678,65.7,2346.6,4.4,1.26,Running
Bobby Simpson,13867,55.8,2124.0,8.7,12.88,Running
Suzanne Ayala,18076,85.9,2440.1,9.7,8.35,Walking
Isabella Ware,2874,68.0,2229.3,9.8,12.49,Cycling
Jessica Smith,19949,73.7,3100.9,6.4,7.66,Running
Christopher Garcia,4269,79.6,2697.1,9.8,2.9,Resting
Jessica Cardenas,10764,90.0,2507.8,7.0,5.36,Cycling
Paul Brown,19577,86.9,1744.0,4.9,12.3,Walking
Christopher Huynh,12502,86.4,2310.1,5.8,14.35,Walking
Brian Alvarado,15447,70.6,1922.3,5.9,12.75,Resting
Samantha Peterson,2307,78.3,2249.7,6.9,5.36,Running
Jennifer Wilson,11762,87.9,2696.4,8.3,12.33,Walking
Randy Vance,11720,75.7,1949.5,9.6,14.06,Running
Amber Schultz,8655,92.6,2344.6,5.1,13.81,Cycling
Amy Frazier,19149,71.6,1731.2,9.2,12.22,Resting
Karen Brady,8841,70.1,2090.6,6.5,7.24,Resting
